"id","name","genres","popularity","followers","degree"
"6V3F8MZrOKdT9fU686ybE9",Mark Morrison,british soul,60,103049,1
"7aA592KWirLsnfb5ulGWvU",Danny Brown,"alternative hip hop,detroit hip hop,escape room,hip hop,underground hip hop",58,845530,1
"6NyJIFHAePjHR1pFxwisqz",Kurupt,"g funk,west coast rap",58,709078,1
"0g9vAlRPK9Gt3FKCekk4TW",Ab-Soul,"conscious hip hop,hip hop,rap",57,1065538,1
"1PpDfXOUG7gxUjR1quWnwp",Amanda Reifer,barbadian pop,56,11802,1
"45a6gCQWq61lIUDmr1tKuO",Bun B,"dirty south rap,houston rap",54,876772,1
"0CKa42Jqrc9fSFbDjePaXP",Big K.R.I.T.,"conscious hip hop,mississippi hip hop,southern hip hop,trap",52,941164,1
"3s8alQfNnY0roAHaJh7Xxt",Dom Kennedy,underground hip hop,52,590370,1
"29XOeO6KIWxGthejQqn793",Flying Lotus,"afrofuturism,alternative hip hop,electronica,escape room,experimental hip hop,glitch,glitch hop,indietronica,instrumental hip hop,intelligent dance music,jazztronica,psychedelic hip hop,wonky",51,771829,1
"0uFc6StTmJBvdHPZFDkdJy",Casey Veggies,underground hip hop,50,320804,1
"450o9jw6AtiQlQkHCdH6Ru",Funkadelic,"classic soul,funk,funk rock,p funk,psychedelic soul,soul",49,744287,1
"5KkgZ31b9eDwkvo9oMIrSm",Consequence,"nyc rap,queens hip hop",49,41125,1
"4TsHKU8l8Wq7n7OPVikirn",Jidenna,"ghanaian hip hop,viral trap",48,368607,1
"6NL31G53xThQXkFs7lDpL5",Rapsody,"alternative r&b,north carolina hip hop,trap queen",48,263539,1
"1SIw8nXWjvAKeb6Dhh85cz",Sam Dew,"soul,r&b",48,16894,1
"49vCIUW46QY3L5vo1xVFoy",Trae Tha Truth,"dirty south rap,houston rap,trap",45,236080,1
"71WhWdsVNTLxsnfe8M3Peh",¡MAYDAY!,miami hip hop,44,136393,1
"1ySUvbTVNE9pyhdzcDxjg4",Iman Omari,alternative r&b,44,61716,1
"3kf0gOpxWtkyeMNJVDQPtd",Smoke DZA,"alternative hip hop,harlem hip hop,underground hip hop",43,285894,1
"5NgQo5enpKJsf6ohQedD6b",Lotus,deep pop edm,41,16252,1
"4jlguclMzgjLqZPqF9s19O",Lance Skiiiwalker,"psychedelic hip hop,underground hip hop",39,38309,1
"6I9TgZbapKRXsunA05fiPl",Fredo Santana,"chicago drill,chicago rap,drill,plugg,trap",38,466194,1
"7s47glsDg6fwq9KXNTsTpa",Gudda Gudda,rap,38,49762,1
"4MHbbhIPVJM9rq9exwwpZJ",C-Mob,"country rap,horrorcore",37,46622,1
"31T99HEreO5nDrKT4H84Gl",Kendall Morgan,nashville singer-songwriter,37,2739,1
"6TlLdicGl92pqnySP64n2g",Skeme,"soul flow,west coast trap",36,43673,1
"1TC1Dj7qy98gBriJdOgDMh",Glasses Malone,west coast trap,32,34387,1
"06HL4z0CvFAxyc27GXpf02",Taylor Swift,pop,100,109853002,2
"1Xyo4u8uXC1ZmMpatF05PJ",The Weeknd,"canadian contemporary r&b,canadian pop,pop",91,83139658,2
"0Y5tJX1MQlPlqiwlOH1tJY",Travis Scott,"rap,slap house",90,29213926,2
"5K4W6rqBFWDnAN6FQUkS6x",Kanye West,"chicago rap,hip hop,rap",89,25232410,2
"2LRoIwlKmHjgvigdNGBHNo",Feid,"colombian pop,pop reggaeton,reggaeton,reggaeton colombiano,trap latino,urbano latino",88,11086647,2
"7dGJo4pcD2V6oG8kP0tJRR",Eminem,"detroit hip hop,hip hop,rap",87,83853140,2
"246dkjvS1zLTtiykXe5h60",Post Malone,"dfw rap,melodic rap,pop,rap",87,43821391,2
"1URnnhqYAYcrqrcwql10ft","21 Savage","atl hip hop,hip hop,rap",87,18400675,2
"1uNFoZAHBGtllmzznpCI3s",Justin Bieber,"canadian pop,pop",86,74831805,2
"1mcTU81TzQhprhouKaTkpq",Rauw Alejandro,"puerto rican pop,reggaeton,trap latino,urbano latino",86,21572892,2
"0du5cEVh5yTK9QJze8zA0C",Bruno Mars,"dance pop,pop",85,55161295,2
"699OTQXzgjhIYAHMy9RyPD",Playboi Carti,"atl hip hop,plugg,pluggnb,rage rap,rap",85,10651088,2
"5cj0lLjcoR7YOSnhnX0Po5",Doja Cat,"dance pop,pop",84,29743303,2
"7bXgB6jMjp9ATFy66eO08Z",Chris Brown,"r&b,rap",84,21617555,2
"1i8SpTcr7yvPOmcqrbnVXY",Ozuna,"puerto rican pop,reggaeton,trap latino,urbano latino",83,36508683,2
"1vyhD5VmyZ7KMfW5gqLgo5",J Balvin,"reggaeton,reggaeton colombiano,trap latino,urbano latino",83,36498292,2
"0hCNtLu0JehylgoiP8L4Gh",Nicki Minaj,"hip pop,pop,queens hip hop,rap",83,31056430,2
"6XyY86QOPPrYVGvF9ch6wz",Linkin Park,"alternative metal,nu metal,post-grunge,rap metal,rock",83,25283061,2
"7CajNmpbOovFoOoasH2HaY",Calvin Harris,"dance pop,edm,electro house,house,pop,pop dance,progressive house,uk dance",83,22531151,2
"04gDigrS5kc9YWfZHwBETP",Maroon 5,pop,82,41382730,2
"5f7VJjfbwm532GiveGC0ZK",Lil Baby,"atl hip hop,atl trap,rap,trap",82,17342631,2
"4V8LLVI7PbaPR0K2TGSxFF","Tyler, The Creator","hip hop,rap",82,14893816,2
"55Aa2cqylxrFIXC767Z865",Lil Wayne,"hip hop,new orleans rap,pop rap,rap,trap",82,14482659,2
"2h93pZq0e7k5yf4dywlkpM",Frank Ocean,"lgbtq+ hip hop,neo soul",82,13742327,2
"2hlmm7s2ICUX0LVIhVFlZQ",Gunna,"atl hip hop,melodic rap,rap,trap",82,7130581,2
"7c0XG5cIJTrrAgEC3ULPiq",Ty Dolla $ign,"hip hop,pop rap,r&b,southern hip hop,trap,trap soul",82,5226364,2
"4O15NlyKLIASxsJ0PrXPfz",Lil Uzi Vert,"hip hop,melodic rap,philly rap,rage rap,rap,trap",81,17057168,2
"6LuN9FCkKOj5PcnpouEgny",Khalid,"pop,pop r&b",81,16106491,2
"1U1el3k54VvEUzo3ybLPlM",Kali Uchis,colombian pop,81,7093250,2
"3tlXnStJ1fFhdScmQeLpuG",Brent Faiyaz,"r&b,rap",81,5872611,2
"3qiHUAX7zY4Qnjx8TNUzVx",Yeat,"pluggnb,rage rap",81,4760631,2
"3l9G1G9MxH6DaRhwLklaf5",Oscar Maydon,"corrido,corridos tumbados,sierreno",81,1515520,2
"64KEffDW9EtZ1y2vBYgq8T",Marshmello,"brostep,edm,pop,progressive electro house",80,33591879,2
"50co4Is1HCEo8bhOyUWKpn",Young Thug,"atl hip hop,atl trap,gangster rap,melodic rap,rap,trap",80,9853748,2
"2EMAnMvWE2eb56ToJVfCWs",Bryson Tiller,"kentucky hip hop,r&b,rap",80,8358595,2
"4Gso3d4CscCijv0lmajZWs",Don Toliver,"pop rap,rap,trap",80,4233306,2
"5lwmRuXgjX8xIwlnauTZIP",Romeo Santos,"bachata,latin hip hop,latin pop,urbano latino",79,20673331,2
"7FNnA9vBm6EKceENgCGRMb",Anitta,"funk pop,funk rj,pagode baiano,pop,pop nacional",79,12389428,2
"5XJDexmWFLWOkjOEjOVX3e",Eladio Carrion,"trap boricua,trap latino,trap triste,urbano latino",79,6696631,2
"0C8ZW7ezQVs4URX5aX7Kqx",Selena Gomez,"pop,post-teen pop",78,49149171,2
"7hJcb9fa4alzcOq3EaNPoG",Snoop Dogg,"g funk,gangster rap,hip hop,pop rap,rap,west coast rap",78,11598103,2
"137W8MRPWKqSmrBGDBFSop",Wiz Khalifa,"hip hop,pittsburgh rap,pop rap,rap,southern hip hop,trap",78,10962705,2
"6Xgp2XMz1fhVYe7i6yNAax",Trippie Redd,"melodic rap,rap,trap",78,9479758,2
"3hcs9uc56yIGFCSy9leWe7",Lil Durk,"chicago drill,chicago rap,drill,hip hop,rap,trap",78,7430245,2
"0z4gvV4rjIZ9wHck67ucSV",Akon,dance pop,78,4476858,2
"4kYSro6naA4h99UJvo89HB",Cardi B,"pop,rap",77,23715163,2
"46SHBwWsqBkxI7EeeBEQG7",Kodak Black,"florida drill,florida rap,melodic rap,miami hip hop,rap,trap,trap latino",77,10453882,2
"31W5EY0aAly4Qieq6OFu6I",A Boogie Wit da Hoodie,"melodic rap,rap,trap",77,8143488,2
"5INjqkS1o8h1imAzPqGZBb",Tame Impala,"australian psych,modern rock,neo-psychedelic,rock",77,7702623,2
"0fA0VVWsXO9YnASrzqfmYu",Kid Cudi,"hip hop,ohio hip hop,pop rap,rap",77,7001170,2
"2jku7tDXc6XoB6MO2hFuqg",Tory Lanez,"canadian hip hop,canadian trap,melodic rap,pop rap,r&b,rap,trap",77,6642452,2
"2HPaUgqeutzr3jx5a9WyDV",PARTYNEXTDOOR,"r&b,rap,urban contemporary",77,6507905,2
"12vb80Km0Ew53ABfJOepVz",Ñengo Flow,"reggaeton,trap latino,urbano latino",77,5886666,2
"1zNqQNIdeOUZHb8zbZRFMX",Swae Lee,"melodic rap,rap,trap",77,2127768,2
"1ZwdS5xdxEREPySFridCfh","2Pac","g funk,gangster rap,hip hop,rap,west coast rap",76,17715246,2
"0eDvMgVFoNV3TpwtrVCoTj",Pop Smoke,"brooklyn drill,rap",76,14048141,2
"6DPYiyq5kWVQS4RGwxzPC7",Dr. Dre,"g funk,gangster rap,hip hop,rap,west coast rap",76,11610183,2
"3AA28KZvwAUcZuOKwyblJQ",Gorillaz,"alternative hip hop,modern rock,rock",76,11542413,2
"6icQOAFXDZKsumw3YXyusw",Lil Yachty,"atl hip hop,melodic rap,rap,trap",76,9869619,2
"5H4yInM5zmHqpKIoMNAx4r",Central Cee,"melodic drill,r&drill",76,5256228,2
"360IAlyVv4PCEVjgyMZrxK",Miguel,"r&b,urban contemporary",76,5026083,2
"2RdwBSPQiwcmiDo9kixcl8",Pharrell Williams,"dance pop,pop",76,4459089,2
"4DdkRBBYG6Yk9Ka8tdJ9BW",Offset,"atl hip hop,hip hop,pop rap,rap,trap",76,3968956,2
"6qxpnaukVayrQn6ViNvu9I",BigXthaPlug,southern hip hop,76,624429,2
"73sIBHcqh3Z3NyqHKZ7FOL",Childish Gambino,"atl hip hop,hip hop,rap",75,12555935,2
"07YZf4WDAMNwqr4jfgOZ8y",Jason Derulo,"dance pop,pop",75,11953067,2
"4r63FhuTkUYltbVAg5TQnk",DaBaby,"hip hop,north carolina hip hop,pop rap,rap,trap",75,11893521,2
"3DiDSECUqqY1AuBP8qtaIa",Alicia Keys,"neo soul,pop,r&b",75,11631497,2
"540vIaP2JwjQb9dm3aArA4",DJ Snake,"edm,electronic trap,pop,pop dance",75,8571811,2
"6jGMq4yGs7aQzuGsMgVgZR",Lil Tjay,"brooklyn drill,melodic rap,nyc rap,rap",75,8364314,2
"7ltDVBr6mKbRvohxheJ9h1",ROSALÍA,"pop,r&b en espanol",75,8106980,2
"02kJSzxNuaWGqwubyUba0Z",G-Eazy,"indie pop rap,oakland hip hop,pop rap,rap",75,5273511,2
"2tIP7SsRs7vjIcLrU85W8J",The Kid LAROI,australian hip hop,75,5268995,2
"3aQeKQSyrW4qWr35idm0cy",T-Pain,"dance pop,gangster rap,hip hop,pop rap,r&b,rap,southern hip hop,trap,urban contemporary",75,4763128,2
"2feDdbD5araYcm6JhFHHw7",Labrinth,"indie poptimism,pop",75,3222856,2
"3ZpEKRjHaHANcpk10u6Ntq",Ayra Starr,afrobeats,75,2818452,2
"7j6DKwmjbxvpQO8h914uEz",Ryan Castro,"reggaeton,trap colombiano,trap latino,urbano latino",75,2441231,2
"4oLeXFyACqeem2VImYeBFe",Fred again..,"edm,house,stutter house",75,1437494,2
"3DbwFQlvLxRSi2uX8mf81A",Sexyy Red,trap queen,75,878132,2
"4iHNK0tOyZPYnBU7nGAgpQ",Mariah Carey,"dance pop,pop,urban contemporary",74,9888091,2
"0VRj0yCOv2FXJNP47XQnx5",Quavo,"atl hip hop,melodic rap,rap,trap",74,7326891,2
"1sBkRIssrMs1AbVkOJbc7a",Rick Ross,"dirty south rap,gangster rap,hip hop,rap,southern hip hop,trap",74,7164794,2
"3tVQdUvClmAT7URs9V3rsp",Wizkid,"afrobeats,afropop,azonto,nigerian hip hop,nigerian pop",74,5309150,2
"6Ip8FS7vWT1uKkJSweANQK",Dave,uk hip hop,74,4800919,2
"15iVAtD3s3FsQR4w1v6M0P",Chief Keef,"chicago bop,chicago drill,chicago rap,drill,hip hop,rap,trap",74,4787926,2
"5SulO4l40qDuV9zUGLZx7n",Capo Plaza,"italian hip hop,italian pop,trap italiana",74,3720580,2
"3ipn9JLAPI5GUEo4y4jcoi",Ludacris,"atl hip hop,dance pop,dirty south rap,hip hop,old school atlanta hip hop,pop rap,rap,southern hip hop,trap",74,2909007,2
"5Y5TRrQiqgUO4S36tzjIRZ",Timbaland,"dance pop,pop,pop rap",74,2814310,2
"5fMUXHkw8R8eOP2RNVYEZX",Diplo,"dance pop,edm,electro house,moombahton,pop dance",74,2592229,2
"3JhNCzhSMTxs9WLGJJxWOY",Macklemore,"pop rap,seattle hip hop",74,2245757,2
"0GM7qgcRCORpGnfcN2tCiB",Tainy,"pop reggaeton,reggaeton,trap latino,urbano latino",74,2085780,2
"3MdXrJWsbVzdn6fe5JYkSQ",Latto,trap queen,74,1589663,2
"5VadK1havLhK1OpKYsXv9y",D-Block Europe,"melodic drill,uk hip hop",74,1446248,2
"0b1sIQumIAsNbqAoIClSpy",j-hope,"k-pop,k-rap",73,17425632,2
"738wLrAtLtCtFOLvQBXOXp",Major Lazer,"dance pop,edm,electro house,moombahton,pop,pop dance",73,6130294,2
"13y7CgLHjMVRMDqxdx0Xdo",Gucci Mane,"atl hip hop,dirty south rap,hip hop,pop rap,rap,southern hip hop,trap",73,5409965,2
"46pWGuE3dSwY3bMMXGBvVS",Rema,"afrobeats,nigerian pop",73,4429893,2
"4fxd5Ee7UefO4CUXgwJ7IP",Giveon,r&b,73,3748952,2
"3jK9MiCrA42lLAdMGUZpwa",Anderson .Paak,"escape room,hip hop,indie soul,neo soul",73,2501353,2
"47mIJdHORyRerp4os813jD",League of Legends,"speedrun,video game music",73,1840781,2
"6U3ybJ9UHNKEdsH7ktGBZ7",JID,"hip hop,pop rap,rap,underground hip hop",73,1725706,2
"67hb7towEyKvt5Z8Bx306c",Empire Of The Sun,"australian dance,australian electropop,dance rock,indietronica,neo-synthpop",73,1476562,2
"5tQMB0cuNXdCtzovGt55uD",LUCKI,plugg,73,982806,2
"6oMuImdp5ZcFhWP0ESe6mG",Migos,"atl hip hop,hip hop,pop rap,rap,trap",72,13743387,2
"2DlGxzQSjYe5N6G9nkYghR",Jennifer Lopez,"dance pop,pop,urban contemporary",72,12853903,2
"0QHgL1lAIqAw0HtD7YldmP",DJ Khaled,"hip hop,miami hip hop,pop rap,rap",72,11265131,2
"0c173mlxpT3dSFRgMO8XPh",Big Sean,"detroit hip hop,hip hop,pop rap,r&b,rap,southern hip hop,trap",72,11061851,2
"163tK9Wjr9P9DmM0AVK7lm",Lorde,"art pop,metropopolis,nz pop,pop",72,9942847,2
"4tm8CEdm4pkQsEh4jIr9Yp",Santa Fe Klan,mexican hip hop,72,9088377,2
"5y2Xq6xcjJb2jVM54GHK3t",John Legend,"neo soul,pop,pop soul,urban contemporary",72,6729599,2
"5JZ7CnR6gTvEMKX4g70Amv",Lauv,pop,72,6159746,2
"6vXTefBL93Dj5IqAWq6OTv",French Montana,"hip hop,pop rap,rap,southern hip hop,trap",72,5384026,2
"1z7b1Pr1rSlvWRzsW3HOrS",Russ,"hawaiian hip hop,pop rap",72,5081939,2
"2pAWfrd7WFF3XhVt9GooDL",MF DOOM,"alternative hip hop,east coast hip hop,hip hop,instrumental hip hop,rap",72,2931098,2
"687cZJR45JO7jhk1LHIbgq",Tems,"afro r&b,afrobeats,alte,nigerian pop",72,1728995,2
"1Oa0bMld0A3u5OTYfMzp5h",Nate Dogg,"g funk,gangster rap,hardcore hip hop,hip hop,west coast rap",72,1648299,2
"3hv9jJF3adDNsBSIQDqcjp",Mark Ronson,pop soul,72,1073181,2
"4aSlfXDn9R60UlbZEboBUy",YOVNGCHIMI,"trap latino,urbano latino",72,912013,2
"3Y7RZ31TRPVadSFVy1o8os",H.E.R.,"r&b,rap",71,7506736,2
"1h6Cn3P4NGzXbaXidqURXs",Swedish House Mafia,"edm,pop dance,progressive electro house",71,3730586,2
"2CmaKO2zEGJ1NWpS1yfVGz",Falling In Reverse,"alternative metal,pop punk,rap metal",71,3153226,2
"08PvCOlef4xdOr20jFSTPd",Flo Milli,viral rap,71,1065781,2
"4myTppRgh0rojLxx8RycOp",Ryan Lewis,pop rap,71,31856,2
"20sxb77xiYeusSH8cVdatc",Meek Mill,"hip hop,philly rap,pop rap,rap,southern hip hop,trap",70,7797641,2
"3KV3p5EY4AvKxOlhGHORLg",Jeremih,"chicago rap,pop rap,r&b,southern hip hop,trap,urban contemporary",70,6548595,2
"1anyVhU62p31KFi8MEzkbf",Chance the Rapper,"chicago rap,conscious hip hop,hip hop,pop rap,rap,trap",70,5956801,2
"4OBJLual30L7gRl5UkeRcT",T.I.,"atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap",70,4699106,2
"1HBjj22wzbscIZ9sEb5dyf",Jonas Blue,"pop,pop dance,tropical house,uk dance",70,3729013,2
"20qISvAhX20dpIbOOzGK3q",Nas,"conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,queens hip hop,rap",70,3706771,2
"5gCRApTajqwbnHHPbr2Fpi",Juicy J,"crunk,memphis hip hop,pop rap,rap,southern hip hop,trap",70,3146365,2
"7sfl4Xt5KmfyDs2T3SVSMK",Lil Jon,"atl hip hop,crunk,dance pop,dirty south rap,old school atlanta hip hop,pop rap,southern hip hop,trap",70,1554597,2
"2p1fiYHYiXz9qi0JJyxBzN",Skepta,"birmingham grime,grime,instrumental grime,uk hip hop",70,1281797,2
"3K2Srho6NCF3o9MswGR76H",Bakar,uk alternative hip hop,70,573705,2
"1gPhS1zisyXr5dHTYZyiMe",Kevin Gates,"baton rouge rap,pop rap,rap,southern hip hop,trap",69,6034447,2
"2y8Jo9CKhJvtfeKOsYzRdT",Rod Stewart,"mellow gold,soft rock",69,4669740,2
"4IVAbR2w4JJNJDDRFP3E83","6LACK","atl hip hop,melodic rap,r&b,rap,trap",69,4657996,2
"2P5sC9cVZDToPxyomzF1UH",Joey Bada$$,"conscious hip hop,hip hop,rap",69,3431029,2
"0A0FS04o6zMoto8OKPsDwY",YG,"cali rap,hip hop,pop rap,rap,southern hip hop,trap",69,3249471,2
"3HiuzBlSW7pGDXlSFMhO2g",Young Dolph,"memphis hip hop,rap,southern hip hop,tennessee hip hop,trap",69,2862399,2
"3rWZHrfrsPBxVy692yAIxF",WILLOW,"afrofuturism,pop,post-teen pop,pov: indie",69,2542506,2
"5BcAKTbp20cv7tC5VqPFoC",Macklemore & Ryan Lewis,"pop rap,seattle hip hop",69,2529257,2
"3ycxRkcZ67ALN3GQJ57Vig",Masego,"alternative r&b,indie soul",69,1366233,2
"6AMd49uBDJfhf30Ak2QR5s",Coi Leray,"new jersey underground rap,trap queen",69,783826,2
"2gsggkzM5R49q6jpPvazou",Jessie J,"dance pop,pop",68,11568461,2
"1HwM5zlC5qNWhJtM00yXzG",DMX,"east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap",68,5028055,2
"0NbfKEOTQCcwd6o7wSDOHI",The Game,"detroit hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap",68,4779297,2
"6PXS4YHDkKvl1wkIl4V8DL",Fetty Wap,"new jersey rap,pop rap,rap,southern hip hop,trap",68,4595015,2
"7rkW85dBwwrJtlHRDkJDAC",NAV,"canadian hip hop,canadian trap,melodic rap,rap,trap",68,3448563,2
"6S0dmVVn4udvppDhZIWxCr",Sean Kingston,"dance pop,miami hip hop,pop",68,3245169,2
"2SrSdSvpminqmStGELCSNd",Stormzy,"grime,uk hip hop",68,2911387,2
"1YfEcTuGvBQ8xSD1f53UnK",Busta Rhymes,"east coast hip hop,hardcore hip hop,hip hop,pop rap,rap",68,2709172,2
"6C1ohJrd5VydigQtaGy5Wa",Joyner Lucas,"boston hip hop,hip hop,pop rap,rap",68,2223341,2
"45gHcnDnMC15sgx3VL7ROG","42 Dugg","detroit trap,southern hip hop,trap",68,1109108,2
"6PvvGcCY2XtUcSRld1Wilr",Silk Sonic,neo soul,68,879565,2
"0eVyjRhzZKke2KFYTcDkeu",The Alchemist,"alternative hip hop,drumless hip hop,hip hop,instrumental hip hop,west coast rap",68,655162,2
"6Xb4ezwoAQC4516kI89nWz",Imogen Heap,"etherpop,metropopolis",68,474524,2
"7iZtZyCzp3LItcw1wtPI3D",Rae Sremmurd,"melodic rap,mississippi hip hop,pop rap,rap,trap",67,7368049,2
"5bWUlnPx9OYKsLiUJrhCA1",Jon Z,"reggaeton,trap latino,urbano latino",67,6128252,2
"1XkoF8ryArs86LZvFOkbyr",Mary J. Blige,"dance pop,hip pop,neo soul,r&b,urban contemporary",67,3786417,2
"75VKfyoBlkmrJFDqo1o2VY",Fireboy DML,"afrobeats,nigerian pop",67,2633354,2
"2wIVse2owClT7go1WT98tk",Missy Elliott,"dance pop,hip hop,hip pop,neo soul,pop rap,r&b,rap,urban contemporary,virginia hip hop",67,2442058,2
"4yBK75WVCQXej1p04GWqxH",Jeezy,"atl hip hop,crunk,dirty south rap,gangster rap,old school atlanta hip hop,rap,southern hip hop,trap",67,2366999,2
"6cK3NBO6uP7hh0oyuVELFl",Saweetie,"cali rap,trap queen",67,2181771,2
"5yPzzu25VzEk8qrGTLIrE1",Young Nudy,"pluggnb,rap,southern hip hop,trap",67,1457512,2
"2KsP6tYLJlTBvSUxnwlVWa",Mike Posner,"dance pop,pop,pop dance,pop rap",67,1358756,2
"0YinUQ50QDB7ZxSCLyQ40k",Mustard,"cali rap,pop rap,rap,southern hip hop,trap",67,1179426,2
"70gP6Ry4Uo0Yx6uzPIdaiJ",Bas,"queens hip hop,rap,sudanese hip hop,sudanese pop,underground hip hop",67,567989,2
"2xvtxDNInKDV4AvGmjw6d1",Bladee,"cloud rap,drain,glitchcore,underground hip hop",67,480817,2
"5vSQUyT33qxr1xAX2Tkf3A",Clams Casino,"cloud rap,experimental hip hop,instrumental hip hop,psychedelic hip hop",67,289028,2
"2iojnBLj0qIMiKPvVhLnsH",Trey Songz,"dance pop,r&b,southern hip hop,trap,urban contemporary",66,7323334,2
"67nwj3Y5sZQLl72VNUHEYE",Wale,"pop rap,r&b,rap,southern hip hop,trap",66,4114052,2
"5dHt1vcEm9qb8fCyLcB3HL",A$AP Ferg,"hip hop,pop rap,rap,southern hip hop,trap",66,3739640,2
"6AUl0ykLLpvTktob97x9hO",Tee Grizzley,"detroit hip hop,detroit trap,rap,southern hip hop,trap",66,3696414,2
"6fxyWrfmjcbj5d12gXeiNV",Denzel Curry,"dark trap,drill,hip hop,miami hip hop,pop rap,rap,trap,underground hip hop",66,2509461,2
"4VmEWwd8y9MCLwexFMdpwt",Method Man,"east coast hip hop,hardcore hip hop,hip hop",66,2132510,2
"63wjoROpeh5f11Qm93UiJ1",Keri Hilson,"dance pop,hip pop,r&b,urban contemporary",66,1966535,2
"1J2VVASYAamtQ3Bt8wGgA6",Ja Rule,"dance pop,east coast hip hop,gangster rap,hip hop,hip pop,pop rap,queens hip hop,rap,urban contemporary",66,1838298,2
"7LnaAXbDVIL75IVPnndf7w",Jamie Foxx,"contemporary r&b,hip pop,pop rap,r&b,southern hip hop,trap,urban contemporary",66,1208093,2
"1gR0gsQYfi6joyO1dlp76N",Justice,"alternative dance,dance-punk,electronica,filter house,indietronica,neo-synthpop,new rave",66,1205442,2
"5yG7ZAZafVaAlMTeBybKAL",Iggy Azalea,"australian hip hop,dance pop,pop",65,6497212,2
"7d3WFRME3vBY2cgoP38RDo",Lil Skies,melodic rap,65,5004371,2
"20s0P9QLxGqKuCsGwFsp7w",Mario,"dance pop,r&b,southern hip hop,urban contemporary",65,3381729,2
"7IfculRW2WXyzNQ8djX8WX",Erykah Badu,"afrofuturism,alternative r&b,neo soul,r&b",65,2872761,2
